# version:2018-05-05 15:52:33
# WORD	TF	IDF	ATTR
газораспределения	20	20	n
Предохранительный	20	20	n
Распределительный	20	20	n
发动机润滑系统润滑系统	20	20	n
воздухозаборника	20	20	n
стеклоочистителя	20	20	n
стеклоподъемника	20	20	n
Термовыключатель	20	20	n
Турбонагнетателя	20	20	n
Маслоотражатель	20	20	n
Противотуманная	20	20	n
противотуманная	20	20	n
стеклоподъемник	20	20	n
Стеклоподъемник	20	20	n
DROSSEKLAPPEN-POSITIONSSENSOR	20	20	n
ZYLINDERKOPFHAUBENENTLUFTUNG	20	20	n
автоматическая	20	20	n
высоковольтные	20	20	n
Гидравлический	20	20	n
гидроусилитель	20	20	n
гидроусилителя	20	20	n
Распределитель	20	20	n
распределителя	20	20	n
Расширительный	20	20	n
регулировочный	20	20	n
上汽通用五菱雪佛兰	20	20	n
传动轴中间轴承吊胶	20	20	n
Переключатель	20	20	n
стабилизатора	20	20	n
Теплообменник	20	20	n
OLWANNE-AUTOMATIKGETRIEBE	20	20	n
PUMPE-SCHEIBENWASCHANLAGE	20	20	n
HYDRAULIKOL-SERVOLENKUNG	20	20	n
амортизатора	20	20	n
безопасности	20	20	n
воздухоотвод	20	20	n
кондиционера	20	20	n
Направляющая	20	20	n
Ограничитель	20	20	n
переключения	20	20	n
поликлиновой	20	20	n
стабилизатор	20	20	n
上汽通用凯迪拉克	20	20	n
减震器及相关配件	20	20	n
刹车助力泵防尘套	20	20	n
前杠下中网装饰框	20	20	n
前轮轴承带修理包	20	20	n
化油器垫片修理包	20	20	n
压缩机离合器总成	20	20	n
发动机上护板胶垫	20	20	n
发动机上护板螺丝	20	20	n
发动机下护板卡子	20	20	n
发动机垫片修理包	20	20	n
发动机垫片及缸盖	20	20	n
发动机电脑板底座	20	20	n
发动机空气进气管	20	20	n
变速器热油管接头	20	20	n
变速箱垫片修理包	20	20	n
变速箱滤清器修包	20	20	n
后窗玻璃除雾开关	20	20	n
后轮轴头前法兰盘	20	20	n
后轮轴承带修理包	20	20	n
平衡杆衬套修理包	20	20	n
手控杆位置传感器	20	20	n
方向机高压油管阀	20	20	n
机盖通风网下饰板	20	20	n
气缸盖垫片修理包	20	20	n
